"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,35151728,,,...,,...,35151728,,,...,,...
"Population and dwellings","Population; 2011",1,33476688,,,...,,...,33476688,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.0,,,...,,...,      5.0,,,...,,...
"Population and dwellings","Total private dwellings",2,15412443,,,...,,...,15412443,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,14072079,,,...,,...,14072079,,,...,,...
"Population and dwellings","Population density per square kilometre",,    3.9,,,...,,...,    3.9,,,...,,...
"Population and dwellings","Land area in square kilometres",,8965588.85,,,...,,...,8965588.85,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,35151730,,17264200,,17887530,,35151730,,17264200,,17887530,
"Age characteristics","  0 to 14 years",, 5839565,, 2992920,, 2846645,, 5839565,, 2992920,, 2846645,
"Age characteristics","    0 to 4 years",, 1898790,,  973030,,  925760,, 1898790,,  973030,,  925760,
"Age characteristics","    5 to 9 years",, 2018130,, 1034685,,  983445,, 2018130,, 1034685,,  983445,
"Age characteristics","    10 to 14 years",, 1922645,,  985200,,  937445,, 1922645,,  985200,,  937445,
"Age characteristics","  15 to 64 years",,23376530,,11576130,,11800400,,23376530,,11576130,,11800400,
"Age characteristics","    15 to 19 years",, 2026160,, 1039215,,  986940,, 2026160,, 1039215,,  986940,
"Age characteristics","    20 to 24 years",, 2242690,, 1144495,, 1098200,, 2242690,, 1144495,, 1098200,
"Age characteristics","    25 to 29 years",, 2285990,, 1144470,, 1141515,, 2285990,, 1144470,, 1141515,
"Age characteristics","    30 to 34 years",, 2329395,, 1148290,, 1181110,, 2329395,, 1148290,, 1181110,
"Age characteristics","    35 to 39 years",, 2288365,, 1118635,, 1169730,, 2288365,, 1118635,, 1169730,
"Age characteristics","    40 to 44 years",, 2255135,, 1104440,, 1150695,, 2255135,, 1104440,, 1150695,
"Age characteristics","    45 to 49 years",, 2359965,, 1157760,, 1202210,, 2359965,, 1157760,, 1202210,
"Age characteristics","    50 to 54 years",, 2678075,, 1318755,, 1359320,, 2678075,, 1318755,, 1359320,
"Age characteristics","    55 to 59 years",, 2620240,, 1285190,, 1335055,, 2620240,, 1285190,, 1335055,
"Age characteristics","    60 to 64 years",, 2290510,, 1114885,, 1175630,, 2290510,, 1114885,, 1175630,
"Age characteristics","  65 years and over",, 5935630,, 2695150,, 3240485,, 5935630,, 2695150,, 3240485,
"Age characteristics","    65 to 69 years",, 1972480,,  953075,, 1019405,, 1972480,,  953075,, 1019405,
"Age characteristics","    70 to 74 years",, 1420875,,  677975,,  742900,, 1420875,,  677975,,  742900,
"Age characteristics","    75 to 79 years",, 1021850,,  469550,,  552300,, 1021850,,  469550,,  552300,
"Age characteristics","    80 to 84 years",,  749650,,  325765,,  423880,,  749650,,  325765,,  423880,
"Age characteristics","    85 years and over",,  770780,,  268790,,  501990,,  770780,,  268790,,  501990,
"Age characteristics","      85 to 89 years",,  482525,,  185535,,  296990,,  482525,,  185535,,  296990,
"Age characteristics","      90 to 94 years",,  223510,,   68675,,  154835,,  223510,,   68675,,  154835,
"Age characteristics","      95 to 99 years",,   56525,,   13240,,   43280,,   56525,,   13240,,   43280,
"Age characteristics","      100 years and over",,    8230,,    1340,,    6890,,    8230,,    1340,,    6890,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.6,,   17.3,,   15.9,,   16.6,,   17.3,,   15.9,
"Age characteristics","  15 to 64 years",,   66.5,,   67.1,,   66.0,,   66.5,,   67.1,,   66.0,
"Age characteristics","  65 years and over",,   16.9,,   15.6,,   18.1,,   16.9,,   15.6,,   18.1,
"Age characteristics","    85 years and over",,    2.2,,    1.6,,    2.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.0,,   40.1,,   41.9,,   41.0,,   40.1,,   41.9,
"Age characteristics","Median age of the population",,   41.2,,   40.2,,   42.2,,   41.2,,   40.2,,   42.2,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,14072080,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  Single-detached house",, 7541495,,,...,,..., 7541495,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 1391040,,,...,,..., 1391040,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6, 4949795,,,...,,..., 4949795,,,...,,...
